id,publication_year,cited_by_count,author_ids
https://openalex.org/W3009601087,2020,41,"['https://openalex.org/A5037734194', 'https://openalex.org/A5021090586', 'https://openalex.org/A5027099621']"
https://openalex.org/W3020629000,2020,39,"['https://openalex.org/A5086981709', 'https://openalex.org/A5086243139']"
https://openalex.org/W3159958158,2021,38,"['https://openalex.org/A5079213654', 'https://openalex.org/A5051059475', 'https://openalex.org/A5069999998']"
https://openalex.org/W4312759111,2022,23,"['https://openalex.org/A5075214995', 'https://openalex.org/A5072755496', 'https://openalex.org/A5089413311', 'https://openalex.org/A5016775802']"
https://openalex.org/W4387331356,2023,14,"['https://openalex.org/A5065590661', 'https://openalex.org/A5103265539', 'https://openalex.org/A5102905792', 'https://openalex.org/A5089413311', 'https://openalex.org/A5072925582']"
https://openalex.org/W98156974,1998,93,"['https://openalex.org/A5020893265', 'https://openalex.org/A5111458986', 'https://openalex.org/A5031365746']"
https://openalex.org/W771919503,2015,44,"['https://openalex.org/A5061633582', 'https://openalex.org/A5089413311', 'https://openalex.org/A5101554423', 'https://openalex.org/A5089539629']"
https://openalex.org/W1868643090,2014,43,"['https://openalex.org/A5089413311', 'https://openalex.org/A5100550303', 'https://openalex.org/A5046535830', 'https://openalex.org/A5009547049', 'https://openalex.org/A5089539629']"
https://openalex.org/W4297685397,2017,43,"['https://openalex.org/A5069999998', 'https://openalex.org/A5079213654', 'https://openalex.org/A5015101188', 'https://openalex.org/A5065212455', 'https://openalex.org/A5008241947', 'https://openalex.org/A5063503467', 'https://openalex.org/A5081561537', 'https://openalex.org/A5083648748', 'https://openalex.org/A5015182112', 'https://openalex.org/A5011552000', 'https://openalex.org/A5062278355', 'https://openalex.org/A5110457086', 'https://openalex.org/A5032356059', 'https://openalex.org/A5018084987', 'https://openalex.org/A5006345545', 'https://openalex.org/A5055098593', 'https://openalex.org/A5000372036', 'https://openalex.org/A5060300673', 'https://openalex.org/A5048987475', 'https://openalex.org/A5069429192', 'https://openalex.org/A5108107515', 'https://openalex.org/A5047816295', 'https://openalex.org/A5035791407', 'https://openalex.org/A5043952261', 'https://openalex.org/A5019799375', 'https://openalex.org/A5056492632', 'https://openalex.org/A5031038372', 'https://openalex.org/A5076189854']"
https://openalex.org/W2620644784,2017,39,"['https://openalex.org/A5089413311', 'https://openalex.org/A5075198678', 'https://openalex.org/A5084649058']"
https://openalex.org/W2980535893,2019,36,"['https://openalex.org/A5057083249', 'https://openalex.org/A5031732469']"
